eco,name,pgn,family,variation,position_fen,color_hex,family_hue,duplicate_group_size,duplicate_group_rank,umap_x,umap_y
A00,Barnes Opening: Hammerschlag,1. f3 e5 2. Kf2,Barnes Opening,Hammerschlag,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq - 1 2,#dc6638,17.027027027027028,1,1,-2.432865619659424,9.037962913513184
A00,Clemenz Opening,1. h3,Clemenz Opening,Root,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1,#8fa210,68.10810810810811,1,1,-2.743870735168457,8.940070152282715
A00,Clemenz Opening: Spike Lee Gambit,1. h3 h5 2. g4,Clemenz Opening,Spike Lee Gambit,rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq - 0 2,#e0ee86,68.10810810810811,1,1,-2.7778513431549072,8.882905006408691
A00,Creepy Crawly Formation: Classical Defense,1. h3 d5 2. a3 e5,Creepy Crawly Formation,Classical Defense,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3,#b4db24,72.97297297297297,1,1,-3.7506754398345947,7.376564979553223
A00,Formation: Hippopotamus Attack,1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3,Formation,Hippopotamus Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ - 0 7,#24a210,111.89189189189189,1,1,-1.489126443862915,7.770996570587158
A00,Formation: Shy Attack,1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3,Formation,Shy Attack,r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ - 0 7,#94ee86,111.89189189189189,1,1,7.983724117279053,4.146823883056641
A00,Global Opening,1. h3 e5 2. a3,Global Opening,Root,rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq - 0 2,#24db29,121.62162162162163,1,1,-2.790407419204712,8.936267852783203
A00,Grob Opening,1. g4,Grob Opening,Root,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,#5edc6c,126.48648648648648,1,1,-3.243475914001465,8.852920532226562
A00,Grob Opening: Alessi Gambit,1. g4 f5,Grob Opening,Alessi Gambit,rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#10a220,126.48648648648648,1,1,-4.409416198730469,7.424907207489014
A00,Grob Opening: Double Grob,1. g4 g5,Grob Opening,Double Grob,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#18ae28,126.48648648648648,1,1,-4.4402265548706055,7.038344383239746
A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1. g4 g5 2. f4,Grob Opening,Double Grob,rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq - 0 2,#18ae28,126.48648648648648,1,1,-2.8255271911621094,9.01863956451416
A00,Grob Opening: Grob Gambit,1. g4 d5 2. Bg2,Grob Opening,Grob Gambit,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq - 1 2,#21b931,126.48648648648648,1,1,-3.4036712646484375,8.321222305297852
A00,Grob Opening: Grob Gambit Declined,1. g4 d5 2. Bg2 c6,Grob Opening,Grob Gambit Declined,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq - 0 3,#2bc23b,126.48648648648648,1,1,-3.2638652324676514,6.156203746795654
A00,"Grob Opening: Grob Gambit, Basman Gambit",1. g4 d5 2. Bg2 h5 3. gxh5,Grob Opening,Grob Gambit,rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq - 0 3,#21b931,126.48648648648648,1,1,-2.8805644512176514,6.181370258331299
A00,"Grob Opening: Grob Gambit, Fritz Gambit",1. g4 d5 2. Bg2 Bxg4 3. c4,Grob Opening,Grob Gambit,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3,#21b931,126.48648648648648,1,1,-2.4950454235076904,2.267805814743042
A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8,Grob Opening,Grob Gambit,q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk - 0 6,#21b931,126.48648648648648,1,1,3.3351945877075195,-1.8289214372634888
A00,"Grob Opening: Grob Gambit, Keres Gambit",1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3,Grob Opening,Grob Gambit,rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq - 0 4,#21b931,126.48648648648648,1,1,0.8847856521606445,1.9049806594848633
A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3,Grob Opening,Grob Gambit,rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq - 0 4,#21b931,126.48648648648648,1,1,-0.43272915482521057,3.154247760772705
A00,Grob Opening: Keene Defense,1. g4 d5 2. h3 e5 3. Bg2 c6,Grob Opening,Keene Defense,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq - 0 4,#18e82e,126.48648648648648,1,1,-2.244006395339966,5.877674102783203
A00,"Grob Opening: Keene Defense, Main Line",1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7,Grob Opening,Keene Defense,rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq - 3 7,#18e82e,126.48648648648648,1,1,10.91038703918457,1.7065080404281616
A00,Grob Opening: London Defense,1. g4 e5 2. h3 Nc6,Grob Opening,London Defense,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq - 1 3,#31e344,126.48648648648648,1,1,-1.9797451496124268,7.868065357208252
A00,Grob Opening: Romford Countergambit,1. g4 d5 2. Bg2 Bxg4 3. c4 d4,Grob Opening,Romford Countergambit,rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq - 0 4,#48df58,126.48648648648648,1,1,-0.6446163654327393,0.3691662847995758
A00,Grob Opening: Spike Attack,1. g4 d5 2. Bg2 c6 3. g5,Grob Opening,Spike Attack,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq - 0 3,#75ec82,126.48648648648648,1,1,-2.508082628250122,6.897216320037842
A00,"Grob Opening: Spike, Hurst Attack",1. g4 e5 2. Bg2 d5 3. c4,Grob Opening,Spike,rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3,#5eef6e,126.48648648648648,1,1,-3.569871187210083,3.7363460063934326
A00,Grob Opening: Zilbermints Gambit,1. g4 d5 2. e4 dxe4 3. Nc3,Grob Opening,Zilbermints Gambit,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq - 1 3,#8aea94,126.48648648648648,1,1,-3.404202699661255,6.25609016418457
A00,"Grob Opening: Zilbermints Gambit, Schiller Defense",1. g4 d5 2. e4 dxe4 3. Nc3 h5,Grob Opening,Zilbermints Gambit,rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq - 0 4,#8aea94,126.48648648648648,1,1,-1.170068621635437,3.6495885848999023
A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3,Grob Opening,Zilbermints Gambit,rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq - 0 4,#8aea94,126.48648648648648,1,1,-2.0857622623443604,7.967559337615967
A00,Hungarian Opening,1. g3,Hungarian Opening,Root,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,#50e77f,138.64864864864865,1,1,-2.5235698223114014,9.003780364990234
A00,Hungarian Opening: Asten Gambit,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,Hungarian Opening,Asten Gambit,r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq f6 0 6,#10a23e,138.64864864864865,1,1,0.483045756816864,2.349940061569214
A00,Hungarian Opening: Burk Gambit,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3,Hungarian Opening,Burk Gambit,rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq - 0 5,#17a643,138.64864864864865,1,1,-1.8608546257019043,7.904842376708984
A00,Hungarian Opening: Bücker Gambit,1. g3 d5 2. Bg2 e5 3. b4,Hungarian Opening,Bücker Gambit,rnbqkbnr/ppp2ppp/8/3pp3/1P6/6P1/P1PPPPBP/RNBQK1NR b KQkq - 0 3,#1ea949,138.64864864864865,1,1,-2.725416898727417,4.2078986167907715
A00,Hungarian Opening: Catalan Formation,1. g3 d5 2. Bg2 e6,Hungarian Opening,Catalan Formation,rnbqkbnr/ppp2ppp/4p3/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,#26ab4f,138.64864864864865,1,1,-2.1090078353881836,7.365492343902588
A00,Hungarian Opening: Dutch Defense,1. g3 f5,Hungarian Opening,Dutch Defense,rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#14c84c,138.64864864864865,1,1,-4.268613815307617,7.450701713562012
A00,Hungarian Opening: Indian Defense,1. g3 Nf6,Hungarian Opening,Indian Defense,rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 1 2,#1cca52,138.64864864864865,1,1,-2.795302391052246,6.091496467590332
A00,Hungarian Opening: Myers Defense,1. g3 g5,Hungarian Opening,Myers Defense,rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#24cc58,138.64864864864865,1,1,-3.8261847496032715,6.94505500793457
A00,Hungarian Opening: Pachman Gambit,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,Hungarian Opening,Pachman Gambit,rnbqkbnr/ppppp2p/6p1/7Q/4p3/6P1/PPPP1P1P/RNB1KBNR w KQkq - 0 4,#2dcd5f,138.64864864864865,1,1,-3.445547103881836,8.20859146118164
A00,Hungarian Opening: Paris Gambit,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O,Hungarian Opening,Paris Gambit,rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQ1RK1 b kq - 1 5,#1ce95b,138.64864864864865,1,1,-2.1925714015960693,7.242185592651367
A00,Hungarian Opening: Reversed Alekhine,1. g3 e5 2. Nf3,Hungarian Opening,Reversed Alekhine,rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2,#2ce265,138.64864864864865,1,1,-2.6721973419189453,9.001376152038574
A00,"Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4,Hungarian Opening,Reversed Brooklyn Defense,rnbqkb1r/pppp1ppp/5n2/8/1P2p3/6P1/P1PPPP1P/RNBQKBNR b KQkq - 0 4,#3cdd6e,138.64864864864865,1,1,-3.4186551570892334,5.141937255859375
A00,Hungarian Opening: Reversed Modern Defense,1. g3 d5 2. Bg2 c5,Hungarian Opening,Reversed Modern Defense,rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,#4bd877,138.64864864864865,1,1,-2.6916675567626953,2.972066640853882
A00,Hungarian Opening: Reversed Norwegian Defense,1. g3 e5 2. Nf3 e4 3. Nh4,Hungarian Opening,Reversed Norwegian Defense,rnbqkbnr/pppp1ppp/8/8/4p2N/6P1/PPPPPP1P/RNBQKB1R b KQkq - 1 3,#41ec76,138.64864864864865,1,1,-2.82956600189209,9.006322860717773
A00,Hungarian Opening: Sicilian Invitation,1. g3 c5,Hungarian Opening,Sicilian Invitation,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#5fe388,138.64864864864865,1,1,-4.377408027648926,4.928302764892578
A00,Hungarian Opening: Slav Formation,1. g3 d5 2. Bg2 c6,Hungarian Opening,Slav Formation,rnbqkbnr/pp2pppp/2p5/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,#6ddf90,138.64864864864865,1,1,-2.5793704986572266,6.857581615447998
A00,Hungarian Opening: Symmetrical Variation,1. g3 g6,Hungarian Opening,Symmetrical Variation,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#66f091,138.64864864864865,1,1,-2.991957664489746,8.73410415649414
A00,Hungarian Opening: Van Kuijk Gambit,1. g3 h5 2. Nf3 h4,Hungarian Opening,Van Kuijk Gambit,rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,#74ec99,138.64864864864865,1,1,-2.929821252822876,5.39215087890625
A00,Hungarian Opening: Winterberg Gambit,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,Hungarian Opening,Winterberg Gambit,rnbqkbnr/ppp2ppp/8/4p3/2p5/1P4P1/P2PPPBP/RNBQK1NR b KQkq - 0 4,#8ee6a9,138.64864864864865,1,1,-1.9763280153274536,4.980798244476318
A00,Kádas Opening,1. h4,Kádas Opening,Root,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,#47eddf,175.13513513513513,1,1,-3.319328546524048,8.408310890197754
A00,Kádas Opening: Beginner's Trap,1. h4 d5 2. Rh3,Kádas Opening,Beginner's Trap,rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq - 1 2,#10a297,175.13513513513513,1,1,-2.7125370502471924,9.063088417053223
A00,Kádas Opening: Koola-Koola Variation,1. h4 a5,Kádas Opening,Koola-Koola Variation,rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,#19baad,175.13513513513513,1,1,-4.139725208282471,6.550593376159668
A00,Kádas Opening: Kádas Gambit,1. h4 c5 2. b4,Kádas Opening,Kádas Gambit,rnbqkbnr/pp1ppppp/8/2p5/1P5P/8/P1PPPPP1/RNBQKBNR b KQkq - 0 2,#24cfc1,175.13513513513513,1,1,-2.2756385803222656,2.198483467102051
A00,Kádas Opening: Kádas Gambit,1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3,Kádas Opening,Kádas Gambit,rnbqkbnr/pp2pppp/8/3p4/3p3P/2P2N2/PP2PPP1/RNBQKB1R b KQkq - 0 4,#24cfc1,175.13513513513513,1,1,4.444478511810303,0.30253079533576965
A00,Kádas Opening: Kádas Gambit,1. h4 e5 2. d4 exd4 3. c3,Kádas Opening,Kádas Gambit,rnbqkbnr/pppp1ppp/8/8/3p3P/2P5/PP2PPP1/RNBQKBNR b KQkq - 0 3,#24cfc1,175.13513513513513,1,1,-2.720097780227661,6.027891635894775
A00,Kádas Opening: Myers Variation,1. h4 d5 2. d4 c5 3. e4,Kádas Opening,Myers Variation,rnbqkbnr/pp2pppp/8/2pp4/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq - 0 3,#3fd5c9,175.13513513513513,1,1,-1.1750715970993042,3.2117228507995605
A00,Kádas Opening: Schneider Gambit,1. h4 g5,Kádas Opening,Schneider Gambit,rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,#69ebe0,175.13513513513513,1,1,-4.230993747711182,6.714720726013184
A00,Kádas Opening: Steinbok Gambit,1. h4 f5 2. e4 fxe4 3. d3,Kádas Opening,Steinbok Gambit,rnbqkbnr/ppppp1pp/8/8/4p2P/3P4/PPP2PP1/RNBQKBNR b KQkq - 0 3,#8aeae3,175.13513513513513,1,1,-2.5928900241851807,7.823925971984863
A00,Lasker Simul Special,1. g3 h5,Lasker Simul Special,Root,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,#24dbd4,177.56756756756758,1,1,-3.0068202018737793,7.139892578125
A00,Mieses Opening,1. d3,Mieses Opening,Root,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,#53ade1,201.8918918918919,1,1,-2.211235523223877,8.888694763183594
A00,Mieses Opening: Myers Spike Attack,1. d3 g6 2. g4,Mieses Opening,Myers Spike Attack,rnbqkbnr/pppppp1p/6p1/8/6P1/3P4/PPP1PP1P/RNBQKBNR b KQkq - 0 2,#106da2,201.8918918918919,1,1,-2.6491503715515137,8.943364143371582
A00,Mieses Opening: Reversed Rat,1. d3 e5,Mieses Opening,Reversed Rat,rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,#1d93d6,201.8918918918919,1,1,-3.650716543197632,7.572297096252441
A00,Mieses Opening: Venezolana Variation,1. d3 c5 2. Nc3 Nc6 3. g3,Mieses Opening,Venezolana Variation,r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq - 0 3,#8ec6e6,201.8918918918919,1,1,-0.13106302917003632,6.043364524841309
A00,Polish Opening,1. b4,Polish Opening,Root,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,#6164dc,238.3783783783784,1,1,-4.293730735778809,7.105334281921387
A00,"Polish Opening, with d5",1. b4 d5,"Polish Opening, with d5",Root,rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,#2624db,240.8108108108108,1,1,-4.575702667236328,6.831010341644287
A00,"Polish Opening, with d5",1. b4 d5 2. Bb2 Nf6 3. Nf3,"Polish Opening, with d5",Root,rnbqkb1r/ppp1pppp/5n2/3p4/1P6/5N2/PBPPPPPP/RN1QKB1R b KQkq - 3 3,#2624db,240.8108108108108,1,1,1.3304756879806519,2.4549601078033447
A00,Polish Opening: Baltic Defense,1. b4 d5 2. Bb2 Bf5,Polish Opening,Baltic Defense,rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3,#1014a2,238.3783783783784,1,1,-3.0280582904815674,4.749589920043945
A00,Polish Opening: Birmingham Gambit,1. b4 c5,Polish Opening,Birmingham Gambit,rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,#171aa5,238.3783783783784,1,1,-4.200481414794922,4.467599868774414
A00,Polish Opening: Bugayev Advance Variation,1. b4 e5 2. Bb2 f6 3. b5,Polish Opening,Bugayev Advance Variation,rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq - 0 3,#1e21a7,238.3783783783784,1,1,-3.216256856918335,6.438041687011719
A00,Polish Opening: Bugayev Attack,1. b4 e5 2. a3,Polish Opening,Bugayev Attack,rnbqkbnr/pppp1ppp/8/4p3/1P6/P7/2PPPPPP/RNBQKBNR b KQkq - 0 2,#2529a9,238.3783783783784,1,1,-3.6167726516723633,7.693414688110352
A00,Polish Opening: Czech Defense,1. b4 e5 2. Bb2 d6,Polish Opening,Czech Defense,rnbqkbnr/ppp2ppp/3p4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 0 3,#1318c4,238.3783783783784,1,1,-1.8798986673355103,5.891963958740234
A00,Polish Opening: Dutch Defense,1. b4 f5,Polish Opening,Dutch Defense,rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,#1b20c6,238.3783783783784,1,1,-4.382627010345459,7.354865074157715
A00,Polish Opening: German Defense,1. b4 d5 2. Bb2 Qd6,Polish Opening,German Defense,rnb1kbnr/ppp1pppp/3q4/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3,#2328c7,238.3783783783784,1,1,-1.8339579105377197,4.123349666595459
A00,Polish Opening: Grigorian Variation,1. b4 Nc6,Polish Opening,Grigorian Variation,r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2,#2c30c7,238.3783783783784,1,1,-3.1036274433135986,7.971080303192139
A00,Polish Opening: Karniewski Variation,1. b4 Nh6,Polish Opening,Karniewski Variation,rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2,#171ce6,238.3783783783784,1,1,-3.702322483062744,7.8282551765441895
A00,Polish Opening: King's Indian Variation,1. b4 Nf6 2. Bb2 g6,Polish Opening,King's Indian Variation,rnbqkb1r/pppppp1p/5np1/8/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 0 3,#2429e1,238.3783783783784,1,1,-1.083441138267517,2.1128501892089844
A00,"Polish Opening: King's Indian Variation, Schiffler Attack",1. b4 Nf6 2. Bb2 g6 3. e4,Polish Opening,King's Indian Variation,rnbqkb1r/pppppp1p/5np1/8/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 3,#2429e1,238.3783783783784,1,1,-1.872217059135437,2.3558084964752197
A00,"Polish Opening: King's Indian Variation, Sokolsky Attack",1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4,Polish Opening,King's Indian Variation,rnbq1rk1/ppp1ppbp/3p1np1/8/1PPP4/4PN2/PB3PPP/RN1QKB1R b KQ - 0 6,#2429e1,238.3783783783784,1,1,11.080560684204102,3.1227433681488037
A00,Polish Opening: Myers Variation,1. b4 d5 2. Bb2 c6 3. a4,Polish Opening,Myers Variation,rnbqkbnr/pp2pppp/2p5/3p4/PP6/8/1BPPPPPP/RN1QKBNR b KQkq - 0 3,#3438db,238.3783783783784,1,1,-1.1161671876907349,4.515438556671143
A00,Polish Opening: Outflank Variation,1. b4 c6,Polish Opening,Outflank Variation,rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,#4246d6,238.3783783783784,1,1,-3.4805703163146973,7.930375576019287
A00,Polish Opening: Queen's Indian Variation,1. b4 e6 2. Bb2 Nf6 3. b5 b6,Polish Opening,Queen's Indian Variation,rnbqkb1r/p1pp1ppp/1p2pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq - 0 4,#363beb,238.3783783783784,1,1,2.4784324169158936,1.136540174484253
A00,Polish Opening: Queenside Defense,1. b4 e6 2. Bb2 Nf6 3. b5 a6,Polish Opening,Queenside Defense,rnbqkb1r/1ppp1ppp/p3pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq - 0 4,#4549e6,238.3783783783784,1,1,5.070015907287598,-1.5518436431884766
A00,Polish Opening: Rooks Swap Line,1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1,Polish Opening,Rooks Swap Line,1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk - 0 6,#5357e1,238.3783783783784,1,1,-0.4095710813999176,0.8365185856819153
A00,Polish Opening: Schiffler-Sokolsky Variation,1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3,Polish Opening,Schiffler-Sokolsky Variation,rnbqkb1r/ppp2ppp/4pn2/1P1p4/8/4P3/PBPP1PPP/RN1QKBNR b KQkq - 0 4,#585cee,238.3783783783784,1,1,6.989048957824707,-0.4018835723400116
